Country,Action Area,2010,2011,2012,2013,2014,2015,2016
Finland,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"Ehkäisevän päihdetyön toimintaohjelma. Alkoholi-, huume- ja rahapelihaittojen sekä tupakoinnin vähentäminen. Sosiaali- ja terveysministeriö, 2015 [Action Plan to prevent harms from alcohol, tobacco, drugs and gambling. Ministry of Social Affairs and Health, 2015]. The action plan, which runs from 2016-2025, builds on the preceding national alcohol programme and integrates prevention activities across substances/addictions.",NA
Finland,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"The campaign “Lasten seurassa” [“In the company of children”] has been run since 2009 as a central part of the alcohol retail monopoly’s responsibility activities. The latest video clip, “The orphanage”, launched in 2015, highlights the theme “children don’t get to choose”.",NA
Finland,Health services' response,NA,NA,NA,NA,NA,"Alkoholiongelmaisen käypä hoito. [Current care for alcohol use disorders]. Guidelines for screening, brief intervention and treatment of alcohol use disorders are provided in the current care guidelines of the Finnish Medical Society, Duodecim, updated in 2015",NA
France,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Loi n° 2016-41 du 26 janvier 2016 de modernisation de notre système [The law No. 2016-41 of 26 January 2016 to modernize our health system] includes alcohol measures.,Rapport de la cour des comptes sur les politiques alcool [Report of the Court of Auditors on policies against harmful consumption of alcohol].
France,Drink-driving policies and countermeasures,NA,NA,NA,NA,NA,Décret n° 2015-743 du 24 juin 2015 relatif à la lutte contre l'insécurité routière [Decree n°2015-743 of 24th of June 2015 concerning policy against road insecurity]. The decree lowers the maximum permitted blood alcohol concentration (BAC) limit from 0.5 g/litre to 0.2 g/litre for novice drivers.,NA
Georgia,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,New legislation/scheme for better enforcement of existing alcohol legislation.,NA
Germany,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"Adoption of the Health Target “Alkoholkonsum reduzieren“ (“Reduce alcohol consumption”) and its citation in the “Präventionsgesetz, PrävG” (“Prevention Law”), adopted in 2015, as one of eight Health Targets",NA
Germany,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"Aktionswoche Alkohol (Alcohol Awareness Week ""Alcohol? Less is better!"") has been carried out every two years since 2007 to raise awareness of national legislation among sellers of alcoholic beverages and the general public.",NA
Germany,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,"The national prevention and awareness raising campaign “Alkohol? Kenn Dein Limit” [“Know your limit”] was implemented to raise awareness of the general public and relevant services on health and social harm from heavy episodic drinking (e.g., through events, publications, information material).",NA
Germany,Health services' response,NA,NA,NA,NA,NA,"Issuing of national guidelines on diagnosis and screening of fetal alcohol spectrum disorders (FASD) and other measures in the field of FASD. The S3 guideline “Diagnosis of Fetal Alcohol Spectrum Disorders” (AWMF register no.: 022 - 025), appeared in February 2016. There have been several measures in the field of FASD-prevention (in school and in communities), and the new pocket guide of the S 3 guideline was distributed to and applied by experts in the health, social paediatric and social sector",NA
Germany,Health services' response,NA,NA,NA,NA,NA,"Die S3 guideline “Screening, Diagnose und Behandlung alkoholbezogener Störungen” [“Screening, diagnosis and treatment of alcohol-related disorders""] (AWMF-Register Nr. 076-001) was published in January 2015.",NA
Germany,Community and workplace action,NA,NA,NA,NA,NA,"Promoted and developed actions among youth group (students, universities, local communities, vulnerable groups). Grants were awarded for pilot projects in the field of alcohol and drug prevention for students (for example, Dein Masterplan or eCHUG-D).",NA
Germany,Reducing the negative consequences of drinking and alcohol intoxication,NA,NA,NA,NA,NA,"Promoted and introduced standards for server training programmes (for example, for those involved in selling and serving alcoholic beverages) and successfully developed training concepts for workers in discos and clubs to deal with the risky substance use of their guests.",NA
Ghana,"Leadership, awareness and commitment",NA,Commenced drafting the Ghana National Alcohol Policy.,NA,NA,Aligned alcohol policy with WHO guidelines.,Conducted a stakeholders' Conference on alcohol policy.,Finalised a National Alcohol Policy with input from stakeholders during stakeholder meetings and a National Stakeholders' Conference.
Greece,Health services' response,NA,NA,NA,NA,NA,Publication of a manual of alcohol therapeutic services in Greece.,NA
Greece,Pricing policies,NA,NA,NA,NA,NA,Increase in alcohol taxation. Introduced taxes on wine (Ministerial Decision B 5026381/2015 of the Ministry of Economy).,NA
Grenada,Pricing policies,NA,Increased taxes on alcohol.,NA,NA,Increased alcohol taxes.,NA,NA
Grenada,"Leadership, awareness and commitment",NA,NA,NA,Regional Meeting organized by PAHO on policy formulation.,Drafted the policy from the Regional Meeting.,Completed drafting the policy from the Regional Meeting.,"Drafted policy, held several consultations, submitted to the Ministry of Health for review and appropriate action."
Guatemala,Health services' response,NA,NA,NA,NA,NA,Updated the health care service policy.,Updated the primary and secondary care policy.
Guatemala,Reducing the negative consequences of drinking and alcohol intoxication,NA,NA,NA,NA,NA,"Development, validation and printing of promotional material for alcohol and tobacco prevention.",NA
Guatemala,Drink-driving policies and countermeasures,NA,NA,NA,NA,NA,NA,No drink-driving campaign promoted by the Municipal Transport Police.
Guatemala,Availability of alcohol,NA,NA,NA,NA,NA,NA,Restricted hours of sale of alcoholic beverages in some Departments.
Honduras,"Leadership, awareness and commitment",NA,NA,NA,NA,NA,Created legislation to restrict sales of alcohol from 5pm on Sundays to 6am on Mondays.,The National Congress negotiated the approval of the law to control alcohol.
Hungary,Health services' response,NA,NA,NA,NA,NA,"Health Promotion Offices (HPOs) became an integrated and active part of the settlements and related micro regions; meanwhile, under the umbrella of the HPO Methodological Coordination Centre, they formed an actively cooperating professional network supporting each other",NA
Hungary,Community and workplace action,NA,NA,NA,NA,NA,"Within the framework of the Bilateral Cooperation Agreement (BCA) with and on the initiative of WHO, a general methodological tool was developed titled “Reducing alcohol-related harms in communities” on the basis of scientific evidence, related national evidence-based health policies and good practices for local health care activists, professionals and decision-makers to support them in policy-making and implementation of local plans to reduce alcohol-related harms.",NA
Hungary,Pricing policies,NA,NA,NA,NA,NA,"The modification of Act CXXVII of 2003 on Excise Duties and Special Regulations on the Distribution of Excise Goods resulted in: a) a modification of the definition of “private distillation,” which presently denotes production of a maximum of 50 litres of pure alcohol per year using private distilling equipment with a maximum volume of 100 litres in the private distiller’s place of residence or orchard by the private distiller; and b) an increase in the tax levied on subcontracted distilled beverages made of raw material of the owner.",NA
Hungary,Pricing policies,NA,NA,NA,NA,NA,"Modification of Act CIII of 2011 on Public Health Product Tax: newly established point i) of article 2 of the Act levies a health product tax to be paid on alcohol products (spirits) with the exception of distilled fruits beverages (Palinka) and spirits containing a minimum of seven medicinal herbs. Some alcoholic beverages, such as flavoured beer and alcoholic refreshments (alco-pops), have been under the public health product tax since 2012. Point h) of article 6 applies differentiated grading on alcoholic drinks according to their pure alcohol content as per volume percent (v/v %): higher than 1,2 v/v % and not higher than 5 v/v % HUF: 20 per litre; higher than 5 v/v % and not higher than 15 v/v % HUF: 100 per litre; higher than 15 v/v % and not higher than 25 v/v % HUF: 300 per litre; higher than 25 v/v % and not higher than 35 v/v % HUF: 500 per litre; higher than 35 v/v % and not higher than 45 v/v % HUF: 700 per litre; higher than 45 v/v % HUF 900 per litre.",NA
